GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.kquiet:hecate,org.kquiet.hecate.telegram,TelegramDao,1,129,3,7,0,23,3,9,0,7
org.kquiet:hecate,org.kquiet.hecate.telegram,TelegramService,0,9,0,0,0,2,0,2,0,2
org.kquiet:hecate,org.kquiet.hecate.telegram,TelegramController,4,14,1,1,0,3,2,2,1,2
org.kquiet:hecate,org.kquiet.hecate,BeanConfiguration,0,7,0,0,0,2,0,2,0,2
org.kquiet:hecate,org.kquiet.hecate,Launcher,5,3,0,0,2,1,1,1,1,1
org.kquiet:hecate,org.kquiet.hecate,HecateConfig,0,10,0,0,0,4,0,3,0,3
org.kquiet:hecate,org.kquiet.hecate.api.telegram,SendPhotoRequest,1,116,4,10,0,24,4,15,0,12
